"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)",
6.56,6.56,1,1,1,0,0,-0.477122003165207,5395.91004908276,
6.58,6.58,1,1,1,0,0,-0.477022254793354,5394.10700860997,
6.6,6.6,1,1,1,0,0,-0.4769225064215,5392.30396813718,
6.62,6.62,1,1,1,0,0,-0.476822758049647,5390.50033161796,
6.64,6.64,1,1,1,0,0,-0.476723009677793,5388.84034229012,
6.66,6.66,1,1,1,0,0,-0.476623231503618,5388.22522236684,
6.68,6.68,1,1,1,0,0,-0.476523483131764,5387.6875884804,
6.7,6.7,1,1,1,0,0,-0.476423734759911,5386.41920166186,
6.72,6.72,1,1,1,0,0,-0.476323986388057,5384.53927119866,
6.74,6.74,1,1,1,0,0,-0.476224238016204,5383.78288826975,
6.76,6.76,1,1,1,0,0,-0.476124459842028,5384.0874679992,
6.78,6.78,1,1,1,0,0,-0.476024711470175,5381.95839012522,
6.8,6.8,1,1,1,0,0,-0.475924963098321,5377.74195762786,
6.82,6.82,1,1,1,0,0,-0.475825214726468,5374.85888101071,
6.84,6.84,1,1,1,0,0,-0.475725466354614,5375.64566230793,
6.86,6.86,1,1,1,0,0,-0.475625688180439,5378.16693873765,
6.88,6.88,1,1,1,0,0,-0.475525939808585,5382.14554870653,
6.9,6.9,1,1,1,0,0,-0.475426191436732,5386.67192535127,
6.92,6.92,1,1,1,0,0,-0.475326443064878,5391.18757316014,
6.94,6.94,1,1,1,0,0,-0.475226694693025,5395.32949985284,
6.96,6.96,1,1,1,0,0,-0.475126916518849,5398.7722640746,
6.98,6.98,1,1,1,0,0,-0.475027168146996,5401.5265946613,
7,7,1,1,1,0,0,-0.474927419775142,5403.88693855295,
7.02,7.02,1,1,1,0,0,-0.474827671403289,5406.15012687532,
7.04,7.04,1,1,1,0,0,-0.474727893229113,5408.41391124413,
7.06,7.06,1,1,1,0,0,-0.47462814485726,5410.67769561294,
7.08,7.08,1,1,1,0,0,-0.474528396485406,5412.94147998175,
7.1,7.1,1,1,1,0,0,-0.474428648113553,5414.72902324717,
7.12,7.12,1,1,1,0,0,-0.474328899741699,5414.23668888997,
7.14,7.14,1,1,1,0,0,-0.474229121567524,5412.21191914251,
7.16,7.16,1,1,1,0,0,-0.47412937319567,5410.02502476411,
7.18,7.18,1,1,1,0,0,-0.474029624823817,5408.8019374748,
7.2,7.2,1,1,1,0,0,-0.473929876451963,5410.01787220687,
7.22,7.22,1,1,1,0,0,-0.47383012808011,5412.14814217372,
7.24,7.24,1,1,1,0,0,-0.473730349905934,5414.33503655212,
7.26,7.26,1,1,1,0,0,-0.473630601534081,5416.51954674478,
7.28,7.28,1,1,1,0,0,-0.473530853162228,5418.13006421832,
7.3,7.3,1,1,1,0,0,-0.473431104790374,5419.19996757325,
7.32,7.32,1,1,1,0,0,-0.473331356418521,5420.23589628125,
7.34,7.34,1,1,1,0,0,-0.473231578244345,5421.27182498925,
7.36,7.36,1,1,1,0,0,-0.473131829872492,5421.91793932727,
7.38,7.38,1,1,1,0,0,-0.473032081500638,5422.07171930809,
7.4,7.4,1,1,1,0,0,-0.472932333128785,5422.22549928891,
